worker_id,vehicle_type,experience_days,avg_daily_orders,avg_daily_earnings,active_hours_per_day,zone_id,city,state,zone_type,season,rainfall_mm,aqi,temperature,humidity,order_volatility,earnings_volatility,recent_disruption_rate,risk_score,premium_inr
wkr_10000,two_wheeler,593,11.3,817.82,9.0,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Summer,0.34,56.0,38.0,24.7,0.201,0.203,0.176,0.0687,22.06
wkr_10001,two_wheeler,239,9.9,423.67,6.9,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Summer,3.08,180.0,39.2,33.7,0.254,0.273,0.273,0.226,26.78
wkr_10002,car,208,11.2,891.17,6.0,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Winter,0.3,116.0,15.3,58.2,0.343,0.281,0.418,0.195,25.85
wkr_10003,two_wheeler,91,15.9,844.8,4.8,zone_coimbatore_tier2,Coimbatore,Tamil Nadu,tier2,Monsoon,2.28,130.0,27.0,83.6,0.407,0.466,0.141,0.1569,24.71
wkr_10004,two_wheeler,1064,20.5,719.44,5.0,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Summer,2.62,92.0,35.1,46.1,0.427,0.415,0.111,0.1488,24.47
wkr_10005,car,437,12.5,1238.53,7.4,zone_coimbatore_tier2,Coimbatore,Tamil Nadu,tier2,Summer,2.82,73.0,34.5,32.3,0.136,0.119,0.053,0.0865,22.6
wkr_10006,car,1146,16.8,1506.35,8.2,zone_indore_tier2,Indore,Madhya Pradesh,tier2,Winter,0.12,73.0,24.0,46.4,0.012,0.011,0.387,0.132,23.96
wkr_10007,bike,1236,29.4,999.44,8.8,zone_pune_urban,Pune,Maharashtra,urban,Summer,0.58,150.0,41.7,48.9,0.604,0.601,0.246,0.235,27.05
wkr_10008,two_wheeler,1459,23.8,766.18,10.3,zone_bengaluru_urban,Bengaluru,Karnataka,urban,Summer,2.0,169.0,39.3,31.0,0.415,0.37,0.14,0.1673,25.02
wkr_10009,bike,348,15.4,604.43,8.9,zone_pune_urban,Pune,Maharashtra,urban,Monsoon,1.81,209.0,26.0,78.5,0.24,0.278,0.369,0.2429,27.29
wkr_10010,two_wheeler,219,18.9,835.56,8.5,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Monsoon,34.11,283.0,27.4,88.1,0.298,0.317,0.309,0.4201,32.6
wkr_10011,bike,734,14.0,464.52,8.9,zone_pune_urban,Pune,Maharashtra,urban,Summer,2.74,171.0,34.4,29.8,0.622,0.596,0.262,0.2375,27.13
wkr_10012,two_wheeler,970,16.1,1133.4,8.6,zone_coimbatore_tier2,Coimbatore,Tamil Nadu,tier2,Monsoon,10.17,70.0,28.5,84.4,0.195,0.223,0.093,0.1058,23.18
wkr_10013,bike,191,12.8,447.94,5.0,zone_jaipur_dry,Jaipur,Rajasthan,dry,Summer,0.48,134.0,41.1,24.5,0.082,0.076,0.324,0.183,25.49
wkr_10014,car,1296,17.6,1377.7,9.0,zone_jaipur_dry,Jaipur,Rajasthan,dry,Monsoon,2.09,138.0,31.4,55.8,0.179,0.177,0.296,0.1415,24.25
wkr_10015,two_wheeler,1472,17.9,442.54,8.7,zone_hyderabad_urban,Hyderabad,Telangana,urban,Winter,0.14,153.0,23.2,47.2,0.05,0.054,0.206,0.1728,25.18
wkr_10016,car,496,17.2,956.28,8.0,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Summer,1.16,32.0,40.0,38.9,0.458,0.417,0.068,0.1481,24.44
wkr_10017,two_wheeler,236,12.4,331.27,10.1,zone_bengaluru_urban,Bengaluru,Karnataka,urban,Summer,0.25,86.0,39.6,20.4,0.774,0.753,0.136,0.1735,25.21
